20 22|0.0 1.0 2.0 3.0 4.0 5.0 6.0 7.0 8.0 9.0 10.0 11.0 12.0 13.0 14.0 15.0 16.0 17.0 18.0 19.0 20.0 21.0 22.0 23.0 24.0 25.0 26.0 27.0 28.0 29.0 30.0 31.0 32.0 33.0 34.0 35.0 36.0 37.0 38.0 39.0 40.0 41.0 42.0 43.0 44.0 45.0 46.0 47.0 48.0 49.0 50.0 51.0 52.0 53.0 54.0 55.0 56.0 57.0 58.0 59.0 60.0 61.0 62.0 63.0 64.0 65.0 66.0 67.0 68.0 69.0 70.0 71.0 72.0 73.0 74.0 75.0 76.0 77.0 78.0 79.0 80.0 81.0 82.0 83.0 84.0 85.0 86.0 87.0 88.0 89.0 90.0 91.0 92.0 93.0 94.0 95.0 96.0 97.0 98.0 99.0 0.0 1.0 2.0 3.0 4.0 5.0 6.0 7.0 8.0 9.0 10.0 11.0 12.0 13.0 14.0 15.0 16.0 17.0 18.0 19.0|20.00,18.68 21.00,17.88 22.00,17.08 23.00,16.28 24.00,15.40 25.00,14.52 26.00,13.72 27.00,12.92 28.00,12.12 29.00,11.24 30.00,10.36 31.00,9.56 32.00,8.76 33.00,7.88 34.00,7.00 35.00,6.20 36.00,5.40 37.00,4.60 38.00,3.72 39.00,15.64 40.00,18.04 41.00,17.24 42.00,16.36
0 22|0.0 1.0 2.0 3.0 4.0 5.0 6.0 7.0 8.0 9.0 10.0 11.0 12.0 13.0 14.0 15.0 16.0 17.0 18.0 19.0 20.0 21.0 22.0 23.0 24.0 25.0 26.0 27.0 28.0 29.0 30.0 31.0 32.0 33.0 34.0 35.0 36.0 37.0 38.0 39.0 40.0 41.0 42.0 43.0 44.0 45.0 46.0 47.0 48.0 49.0 50.0 51.0 52.0 53.0 54.0 55.0 56.0 57.0 58.0 59.0 60.0 61.0 62.0 63.0 64.0 65.0 66.0 67.0 68.0 69.0 70.0 71.0 72.0 73.0 74.0 75.0 76.0 77.0 78.0 79.0 80.0 81.0 82.0 83.0 84.0 85.0 86.0 87.0 88.0 89.0 90.0 91.0 92.0 93.0 94.0 95.0 96.0 97.0 98.0 99.0 0.0 1.0 2.0 3.0 4.0 5.0 6.0 7.0 8.0 9.0 10.0 11.0 12.0 13.0 14.0 15.0 16.0 17.0 18.0 19.0|0.00,18.68 1.00,17.88 2.00,17.08 3.00,16.28 4.00,15.40 5.00,14.52 6.00,13.72 7.00,12.92 8.00,12.12 9.00,11.24 10.00,10.36 11.00,9.56 12.00,8.76 13.00,7.88 14.00,7.00 15.00,6.20 16.00,5.40 17.00,4.60 18.00,3.72 19.00,15.64 20.00,18.04 21.00,17.24 22.00,16.36
20 40|0.0 1.0 2.0 3.0 4.0 5.0 6.0 7.0 8.0 9.0 10.0 11.0 12.0 13.0 14.0 15.0 16.0 17.0 18.0 19.0 20.0 21.0 22.0 23.0 24.0 25.0 26.0 27.0 28.0 29.0 30.0 31.0 32.0 33.0 34.0 35.0 36.0 37.0 38.0 39.0 40.0 41.0 42.0 43.0 44.0 45.0 46.0 47.0 48.0 49.0 50.0 51.0 52.0 53.0 54.0 55.0 56.0 57.0 58.0 59.0 60.0 61.0 62.0 63.0 64.0 65.0 66.0 67.0 68.0 69.0 70.0 71.0 72.0 73.0 74.0 75.0 76.0 77.0 78.0 79.0 80.0 81.0 82.0 83.0 84.0 85.0 86.0 87.0 88.0 89.0 90.0 91.0 92.0 93.0 94.0 95.0 96.0 97.0 98.0 99.0 0.0 1.0 2.0 3.0 4.0 5.0 6.0 7.0 8.0 9.0 10.0 11.0 12.0 13.0 14.0 15.0 16.0 17.0 18.0 19.0|20.00,18.92 21.00,18.52 22.00,18.04 23.00,17.56 24.00,17.08 25.00,16.60 26.00,16.12 27.00,15.64 28.00,15.16 29.00,14.68 30.00,14.20 31.00,13.72 32.00,13.24 33.00,12.84 34.00,12.44 35.00,11.96 36.00,11.48 37.00,11.00 38.00,10.52 39.00,10.04 40.00,9.56 41.00,9.08 42.00,8.60 43.00,8.12 44.00,7.64 45.00,7.16 46.00,6.68 47.00,6.28 48.00,5.88 49.00,5.40 50.00,4.92 51.00,4.44 52.00,3.96 53.00,3.48 54.00,13.67 55.00,18.52 56.00,18.04 57.00,17.56 58.00,17.08 59.00,16.60 60.00,16.12
20 22|42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0|20.00,12.28 21.00,12.28 22.00,12.28 23.00,12.28 24.00,12.28 25.00,12.28 26.00,12.28 27.00,12.28 28.00,12.28 29.00,12.28 30.00,12.28 31.00,12.28 32.00,12.28 33.00,12.28 34.00,12.28 35.00,12.28 36.00,12.28 37.00,12.28 38.00,12.28 39.00,12.28 40.00,12.28 41.00,12.28 42.00,12.28
0 22|42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0|0.00,12.28 1.00,12.28 2.00,12.28 3.00,12.28 4.00,12.28 5.00,12.28 6.00,12.28 7.00,12.28 8.00,12.28 9.00,12.28 10.00,12.28 11.00,12.28 12.00,12.28 13.00,12.28 14.00,12.28 15.00,12.28 16.00,12.28 17.00,12.28 18.00,12.28 19.00,12.28 20.00,12.28 21.00,12.28 22.00,12.28
20 40|42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0|20.00,12.28 21.00,12.28 22.00,12.28 23.00,12.28 24.00,12.28 25.00,12.28 26.00,12.28 27.00,12.28 28.00,12.28 29.00,12.28 30.00,12.28 31.00,12.28 32.00,12.28 33.00,12.28 34.00,12.28 35.00,12.28 36.00,12.28 37.00,12.28 38.00,12.28 39.00,12.28 40.00,12.28 41.00,12.28 42.00,12.28 43.00,12.28 44.00,12.28 45.00,12.28 46.00,12.28 47.00,12.28 48.00,12.28 49.00,12.28 50.00,12.28 51.00,12.28 52.00,12.28 53.00,12.28 54.00,12.28 55.00,12.28 56.00,12.28 57.00,12.28 58.00,12.28 59.00,12.28 60.00,12.28
20 22|100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0|20.00,9.40 21.00,12.60 22.00,9.40 23.00,12.60 24.00,11.00 25.00,9.40 26.00,12.60 27.00,9.40 28.00,12.60 29.00,11.00 30.00,9.40 31.00,12.60 32.00,9.40 33.00,11.00 34.00,12.60 35.00,9.40 36.00,12.60 37.00,9.40 38.00,11.00 39.00,12.60 40.00,9.40 41.00,12.60 42.00,11.00
0 22|100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0|0.00,9.40 1.00,12.60 2.00,9.40 3.00,12.60 4.00,11.00 5.00,9.40 6.00,12.60 7.00,9.40 8.00,12.60 9.00,11.00 10.00,9.40 11.00,12.60 12.00,9.40 13.00,11.00 14.00,12.60 15.00,9.40 16.00,12.60 17.00,9.40 18.00,11.00 19.00,12.60 20.00,9.40 21.00,12.60 22.00,11.00
20 40|100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0 100.0 0.0|20.00,11.00 21.00,8.33 22.00,13.67 23.00,8.33 24.00,13.67 25.00,8.33 26.00,13.67 27.00,8.33 28.00,13.67 29.00,8.33 30.00,13.67 31.00,8.33 32.00,13.67 33.00,11.00 34.00,8.33 35.00,13.67 36.00,8.33 37.00,13.67 38.00,8.33 39.00,13.67 40.00,8.33 41.00,13.67 42.00,8.33 43.00,13.67 44.00,8.33 45.00,13.67 46.00,8.33 47.00,11.00 48.00,13.67 49.00,8.33 50.00,13.67 51.00,8.33 52.00,13.67 53.00,8.33 54.00,13.67 55.00,8.33 56.00,13.67 57.00,8.33 58.00,13.67 59.00,8.33 60.00,13.67
20 22|6.130768 73.061686 48.792315 89.365574 99.071792 44.694526 67.551234 66.5094 69.367905 36.759373 63.950833 6.781544 90.006537 72.353635 80.258696 46.225311 20.511819 45.118571 68.057754 54.817216 10.865159 0.373325 39.778064 24.486114 22.675039 22.148077 41.571153 69.51831 91.303933 67.668427 2.070398 86.760437 60.891873 73.176491 61.366117 35.427393 33.923681 7.136213 66.403528 5.40193 68.107379 91.107738 66.789703 60.621408 80.808219 95.967045 81.259093 99.004226 45.960709 1.462276 61.432987 63.846356 86.30549 61.216463 36.334731 0.470023 83.064028 62.469619 98.532205 59.342009 85.272053 77.229206 99.084925 46.229301 89.719585 39.677775 1.123073 32.581845 35.128862 99.233054 39.488223 27.472447 69.072658 9.727829 30.550384 39.501151 12.433588 59.799599 42.29604 80.205537 33.94687 97.731 19.563511 53.081503 22.626243 1.425217 30.161245 89.551537 29.153534 48.842813 52.398436 26.603513 53.484479 6.541353 34.938072 28.457661 81.544494 77.002203 70.079273 59.490073 86.649081 74.103579 5.525778 13.042548 74.788906 83.991728 98.931861 77.524114 15.780889 56.714733 62.429788 60.468171 13.444842 96.844344 51.037635 26.877489 98.095215 38.478371 6.997641 66.913243|20.00,8.87 21.00,9.88 22.00,8.97 23.00,11.49 24.00,15.79 25.00,10.29 26.00,8.84 27.00,13.21 28.00,6.35 29.00,9.59 30.00,10.44 31.00,6.75 32.00,10.17 33.00,10.92 34.00,14.14 35.00,10.24 36.00,12.70 37.00,12.26 38.00,11.04 39.00,11.36 40.00,7.77 41.00,9.72 42.00,11.31
