2||
2|45.237955|45.237955
2|55.977239 92.421058|55.977239 92.421058
2|46.565007 50.784127 58.738483 18.466034 51.190864|48.674566999999996 42.79846033333333
2|62.988272 79.297687 9.412346 30.340126 9.067054 80.964453 69.343848 4.188034 98.219342 96.475778 65.392253 61.55627 15.74941 1.500074 52.838127 5.955111 19.020826 24.194301 3.008259 46.393446 44.053112 84.242713 51.912411|55.06265390909091 34.202005
2|64.029171 49.977315 66.244953 45.732988 27.81629 99.76562 99.569164 84.021555 70.780962 31.527722 22.96659 28.903995 7.02235 76.628789 40.03998 84.658362 38.651353 95.804238 84.730977 0.054494 20.971741 91.027193 46.998728 98.035894|57.61136041666666 57.05200825
2|39.742439 7.303834 62.945491 77.851086 26.977559 8.71442 33.258563 96.407622 75.804052 11.799168 24.638795 10.104631 5.98934 79.702151 17.767813 55.929514 44.742488 19.068442 73.189422 13.096708 64.371512 11.650799 42.075562 21.286567 26.979498 97.092906 80.34115 30.414515 88.486511 21.071022 39.427464 85.43769 64.183566 10.033275 98.93017 21.324337 25.827756 77.268969 32.895543 29.632476 7.339855 9.011717 58.27348 24.301292 60.128384 37.170405 45.32081|39.26658308695652 45.507473250000004
2|95.913467 48.372453 57.457125 86.652567 18.282772 15.413532 90.842373 81.780195 24.949857 18.980067 73.942439 94.04049 19.65898 95.013585 88.218975 60.353421 42.145722 10.383968 3.869647 96.268151 23.840719 70.457946 25.69814 82.371785 59.646631 29.343535 17.54334 72.035333 6.877612 22.839634 55.936634 85.239988 61.430302 28.021939 91.736018 20.397888 1.657479 26.919393 44.570552 6.045558 17.625378 36.878537 57.216942 13.157852 36.214516 89.094023 98.049342 65.693205 69.122159 58.444027 14.034719 3.508054 1.78942 91.021245 70.097002 96.277101 2.125918 63.618452 48.223572 73.049798 31.890449 99.935763 7.52629 54.609536 73.700549 90.019588 73.708813 70.369062 79.326668 91.500258 35.18341 68.514596 90.083594 87.110126 41.715314 79.0532 86.347267 57.28075 62.496055 38.233353 58.267889 60.88669 8.020203 63.940431 99.332219 87.979183 72.820708 38.843633 73.503815 58.095288 44.05225 83.837003 8.378222 75.021018 2.978983 60.128526 48.095682 23.022164 69.833468 49.725058 61.450326 92.046427 25.583022 1.130721 30.103264 67.813698 20.257441 16.960715 90.57216 65.999 44.193248 89.172692 32.696062 66.589906 19.850578 43.089528 80.59884 91.42212 88.026892|48.937994508474574 58.432891866666665
2|38.441868 58.310719 31.648684 13.617633 49.646704 83.709562 84.87203 71.121776 95.000015 27.6796 16.912891 45.064945 27.516282 21.408038 41.39848 62.573356 49.387537 31.537165 83.911841 98.203651 45.247734 7.467922 3.148578 87.282905 4.14884 70.863093 57.058196 30.903035 79.151352 1.911401 13.588116 45.483241 2.472651 82.966843 23.740901 14.087453 4.694257 62.918031 44.648077 62.996424 65.504304 80.738491 95.846065 68.449275 19.934142 47.51423 17.86861 1.076667 47.21995 71.417096 17.909881 27.235494 34.573953 69.731157 52.042295 61.444767 75.620686 39.351621 79.193224 90.623699 8.720966 93.260383 72.237718 12.990992 45.353615 62.554818 90.996536 37.680277 56.881404 87.932083 79.676724 94.425801 46.370773 65.132257 20.489436 72.193565 81.834554 64.161631 71.766196 21.329658 89.998374 98.049315 97.735852 53.69566 79.078713 32.039473 90.998972 85.578346 34.850704 8.277258 44.090119 55.030193 76.82335 48.744749 2.841036 80.914016 6.405686 79.985987 17.289631 33.500433 78.790592 14.05002 14.867555 51.652492 72.356639 83.997644 68.937154 94.57474 49.25813 94.915437 8.602351 22.141417 52.66634 29.016968 72.88432 63.887114 52.278272 84.36234 55.997109 31.169756|47.33395723333333 56.6387274
2|38.121698 84.526057 90.052504 20.823957 85.077123 96.844037 52.422594 57.298908 20.096723 53.590368 50.31741 60.522775 2.775552 96.940486 51.601777 40.058393 80.106857 56.286669 49.104045 69.098676 6.590023 53.871544 41.377409 95.686508 92.341873 26.921379 47.31615 12.696759 43.367759 81.571706 90.055547 47.653272 31.721465 19.145172 61.789488 92.527068 12.946145 77.928884 2.278594 19.41066 22.725932 68.703404 32.208225 35.534709 61.976634 10.488551 73.089375 12.278335 51.046905 25.055364 19.772885 53.035188 43.677601 37.57362 41.340201 52.93477 15.97285 20.426624 63.1315 63.846716 52.961902 85.125817 61.171114 85.676421 23.265839 74.077157 81.050825 90.267753 31.58738 31.498843 92.276697 21.814431 99.835383 88.754169 13.393222 23.934747 72.657651 25.949751 9.701588 83.216853 42.16306 78.993583 12.600327 40.27788 68.521491 1.775868 20.093406 68.238314 91.137297 96.837826 11.541024 50.568092 75.815443 50.278544 68.568263 18.900729 7.055213 10.617332 3.743587 55.16715 51.482432 56.874217 14.655482 18.453629 20.391402 84.021429 99.030138 92.689232 9.524642 6.194508 95.149494 46.207074 76.472048 32.682727 46.695987 51.528713 43.008125 60.09298 1.3246 70.103009 84.426287|48.62805671666667 50.5265594590164
2|18.126919 45.395098 73.933424 40.530209 19.51259 16.507667 51.25608 1.541766 89.3185 80.170616 70.467155 86.073178 62.938633 40.450991 59.960514 50.428868 98.268025 80.48214 25.826425 91.129903 74.443491 77.798798 81.464172 40.563666 89.654507 87.984151 69.479878 76.72698 76.522914 40.574551 72.263435 7.055165 34.171866 46.884039 1.059461 35.563719 63.871208 62.402028 23.210719 94.467568 66.609357 33.781561 65.976123 56.957554 53.307968 38.959407 99.988702 64.226526 70.12507 76.17397 98.008671 2.282051 61.539642 73.879488 25.663349 40.155565 5.045693 19.544609 37.567671 9.844909 25.088746 90.564326 55.005769 50.781942 96.713628 56.797851 99.510516 63.80126 80.952822 7.619599 59.753658 75.924822 4.511362 93.015383 15.993157 47.176153 16.912265 49.55209 61.11716 5.854532 94.527341 42.070387 52.675824 59.783201 36.557533 28.575042 65.511155 56.064425 28.352847 71.660178 29.60405 1.401247 24.502282 4.277401 15.658742 75.464452 38.995556 89.754211 74.836312 5.015821 98.876945 94.445734 7.350428 90.555086 42.951574 47.760844 97.316807 24.37083 52.335944 93.727095 72.273777 46.835035 97.882079 81.669604 60.362329 11.509326 62.424797 45.568869 20.365694 5.20557 52.809971 12.43259 44.286411 66.789126 45.555343 26.212941 58.223665 41.953182 77.796675 53.076626 99.763459 95.263499 73.428471 23.841103 11.386855 89.269962 78.430882 62.497643 35.918389 27.151184 68.503884 56.489041 59.167508 63.310063 75.33496 18.981545 24.896104 97.972086 91.572201 87.877641 3.950789 6.078685 27.093945 42.519297 62.334916 10.24696 54.164817 7.249284 8.644181 67.628007 55.062861 63.110542 37.31836 47.85555 21.063263 34.370052 74.482682 83.855389 7.434665 11.978852 80.918301 62.373247 76.875102 21.316465 42.436033 25.807225 80.987697 36.895 65.36577 98.918058 32.539061 54.861347 74.610476 92.082503 42.765256 36.926051 9.701694 87.517819 7.850762 8.302143 56.421631 48.485686 68.532692 29.887067 77.550317 7.60793 21.326037 66.209828 8.170893 30.380524 72.499716 69.398084 28.291518 14.291813 35.780164 72.597562 36.639445 11.738219 70.927488 56.927456 91.855662 93.993582 91.33753 43.79927 80.304943 30.476454 31.761924 39.95917 93.466604 89.472741 24.830522 36.169421 36.556423 36.331178 39.560959 38.757988 19.496042 56.380469 79.708282 54.056145 83.637636 56.27792 17.659219 75.894735 88.089824 28.145494 2.223009 51.564129 54.415166 56.746251|53.03201931666667 49.935657325
3||
3|96.641605|96.641605
3|65.120412 80.431899|65.120412 80.431899
3|6.405648 54.681609 78.806287 8.404617 8.16726|6.405648 66.743948 8.2859385
3|73.705992 89.907186 8.469991 63.412802 14.387794 74.579154 64.900339 24.545024 22.044985 76.535303 52.155419 76.47093 39.438258 33.781358 96.827148 67.238736 49.366196 53.733984 72.093512 70.814064 91.497684 41.060553 82.623217|55.62332257142857 52.724803125 66.05349325
3|66.673643 85.350404 80.590726 83.382773 88.864693 95.778676 64.027336 52.385615 71.008641 80.225342 42.161092 42.045662 14.618944 74.123224 99.101038 37.55223 16.765545 20.436475 42.494517 29.202438 96.976028 5.920702 30.84446 11.481271|77.13173325 57.604521625 31.765179500000002
