4057b66666666666|95|94.8|94.85|94.850000|94.8|94.85|94.85
4054c00000000000|83|83.0|83.00|83.000000|83.0|83.0|83.00
401cf979cb104f90|7|7.2|7.24|7.243629|7.2|7.24|7.24
3feeb851eb851eb8|1|1.0|0.96|0.960000|1.0|0.96|0.96
404d2ccccccccccc|58|58.3|58.35|58.350000|58.3|58.35|58.35
40018f5c28f5c28f|2|2.2|2.19|2.195000|2.2|2.19|2.19
4021307f94d75515|9|8.6|8.59|8.594723|8.6|8.59|8.59
4021000000000000|8|8.5|8.50|8.500000|8.5|8.5|8.50
40710239820a4894|272|272.1|272.14|272.139040|272.1|272.14|272.14
401e000000000000|8|7.5|7.50|7.500000|7.5|7.5|7.50
3ff43d70a3d70a3d|1|1.3|1.26|1.265000|1.3|1.26|1.26
409d8f82d029265a|1892|1891.9|1891.88|1891.877747|1891.9|1891.88|1,891.88
4023666666666666|10|9.7|9.70|9.700000|9.7|9.7|9.70
404cdaeaf128ddc3|58|57.7|57.71|57.710295|57.7|57.71|57.71
4018000000000000|6|6.0|6.00|6.000000|6.0|6.0|6.00
406177eff577fa86|140|139.7|139.75|139.748042|139.7|139.75|139.75
408b269f74896ac9|869|868.8|868.83|868.827859|868.8|868.83|868.83
4099583b0a54b038|1622|1622.1|1622.06|1622.057657|1622.1|1622.06|1,622.06
40093d70a3d70a3d|3|3.2|3.15|3.155000|3.2|3.15|3.15
4020b5c28f5c28f6|8|8.4|8.36|8.355000|8.4|8.36|8.36
069876f82e44158b|0|0.0|0.00|0.000000|0.0|0.0|0.00
40176147ae147ae1|6|5.8|5.84|5.845000|5.8|5.84|5.84
17d55c80301850c5|0|0.0|0.00|0.000000|0.0|0.0|0.00
404b632110b36091|55|54.8|54.77|54.774447|54.8|54.77|54.77
404c37ea05df5ca2|56|56.4|56.44|56.436829|56.4|56.44|56.44
4000d70a3d70a3d7|2|2.1|2.10|2.105000|2.1|2.1|2.10
4055c00000000000|87|87.0|87.00|87.000000|87.0|87.0|87.00
4011800000000000|4|4.4|4.38|4.375000|4.4|4.38|4.38
